0.25000, 0.90090, 0.50000
0.17342, 0.34910, 0.75000
0.82432, 0.50000, 0.32432
0.52477, 0.19369, 0.90090
0.32432, 0.69595, 0.50000
0.90090, 0.29955, 0.79955
0.07432, 0.45045, 0.39865
0.57432, 0.75000, 0.90090
0.25000, 0.50000, 0.14865
0.67568, 0.32432, 0.97523
0.62387, 0.09910, 0.34910
0.29955, 0.57432, 0.67568
0.67568, 1.00000, 0.50000
0.50000, 0.39865, 0.90090
0.12387, 0.67568, 0.29955
0.90090, 0.50000, 0.82432
0.39865, 0.14865, 0.50000
0.75000, 0.25000, 0.09910
0.00000, 0.75000, 0.57432
0.95045, 0.57432, 0.25000
0.34910, 0.90090, 0.17342
0.52477, 0.17342, 0.79955
0.67568, 0.32432, 0.90090
0.14865, 0.72523, 0.45045
0.50000, 0.25000, 0.19369
0.25000, 1.02477, 0.52477
1.00000, 0.67568, 0.25000
0.79955, 0.07432, 0.50000
0.45045, 0.75000, 0.34910
0.17342, 0.25000, 0.90090
